,timestamp,tweet
93,2016-30-06 10:58:13,Yay! I achieved 10/10 in #MemoryGame on #Myntra &amp; a chance to win amazing goodies worth 4 Lakhs! It's your turn now https://t.co/7je49gW4YH
94,2016-12-06 07:34:06,I just completed this awesome #practice #tutorial in Breadth First Search on @HackerEarth https://t.co/q63lwgwVy4
95,2016-05-06 05:32:24,@srikanthpragada sir can you please upload the course schedule for the month of June?
96,2016-20-05 15:36:15,RT @verma123naveen: #TransformingIndia @smritiirani How can we transform India if our national institutes like #iiitkalyani are undergoing…
97,2016-20-05 15:34:21,RT @VikasUp179: #TansformingIndia@smritiiraniMaam please look into the conditions of IIITKalyani students facing problems (academic and bas…
98,2016-20-05 15:34:20,RT @Rajatbrshukla: #iiitkalyani https://t.co/qSqSinqodg
99,2016-20-05 15:34:15,RT @Rajatbrshukla: #iiitkalyani https://t.co/jO87355xGa
100,2016-20-05 15:34:15,RT @VikasUp179: #iiitkalyani @Narendramodi_PM https://t.co/yPHvVKuSTQ
101,2016-20-05 15:34:01,"RT @spsingh_iiitkk: @smritiirani @narendramodi  #iiitkalyani
Please help students of IIIT Kalyani"
102,2016-20-05 15:33:58,RT @mradul_dubey: #iiitkalyani #TransformingIndia @narendramodi @smritiirani Dispel ur curr' notions abt Edu Sys to learn the reality https…
103,2016-20-05 15:33:48,"RT @spsingh_iiitkk: #TransformingIndia #iiitkalyani @smritiirani @narendramodi 
Please help us https://t.co/DDRVRbnT5x"
104,2016-20-05 15:33:38,RT @mradul_dubey: @sushmaSwaraj @smritiirani Had the later replied tweets like former #iiitkalyani would a better institute. https://t.co/h…
105,2016-20-05 15:33:34,"RT @spsingh_iiitkk: #TransformingIndia  @smritiirani #iiitkalyani
Please help students of IIIT Kalyani https://t.co/SHeJXLlBe0"
106,2016-20-05 15:29:53,RT @mradul_dubey: #iiitkalyani #TransformingIndia @narendramodi @smritiirani Dispel ur curr' notions abt Edu Sys to learn the reality  http…
107,2016-20-05 15:26:41,RT @mradul_dubey: #iiitkalyani #TransformingIndia @narendramodi @smritiirani Dispel ur curr' notions abt Edu Sys to learn the reality  http…
